Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
03/20/2020,11.5,11.5,11.25,11.25,-0.85,16,1374,"1,134.07%",-0.71195737171668,0.031908857723394,-1.8518561812347,0.0032149283060419,-0.00070847803814088,13.325,18.14,30
03/19/2020,14.46,14.46,11.59,12.1,-1.82,30,2133,"1,039.33%",-0.75704764536348,0.032464980938063,-1.5089711115035,0.0028994857800713,-0.00073376320892342,13.375000160016,17.71,30
03/18/2020,11.41,15.6,11.08,13.92,3.96,114,2526,563.14%,-0.88134858413477,0.028263987270556,-0.34922040319518,0.0024621843803102,-0.0015537893828719,13.550000169129,16.8,30
03/17/2020,10.19,10.48,8.9,9.96,0.81,27,3471,487.22%,-0.74569737773621,0.035681693992179,-0.48067505768579,0.0058998168254884,-0.0021324837213526,10.800000574532,20.32,30
03/16/2020,8,9.15,7.76,9.15,2.95,147,4045,289.21%,-0.84760478548604,0.036950655183632,-0.18860562000622,0.0051652949073119,-0.0029862689781319,9.4500002324401,21,30
03/13/2020,5.15,6.9,4.8,6.2,-0.62,188,4066,146.41%,-0.80408416858335,0.0550129669687,-0.10042420833324,0.0094314515052123,-0.004922806190466,5.8000007644669,24.71,30
03/12/2020,4.5,8.45,4.5,6.82,2.84,329,4209,196.34%,-0.77726491147762,0.044377601596694,-0.12611573958932,0.010137351208681,-0.0056182319443175,7.7250007136416,23.04,30
03/11/2020,4.02,4.25,3.85,3.98,0.63,13,4216,86.31%,-0.83905451241407,0.068971602656657,-0.049491746678183,0.0099232352467604,-0.0064394188002061,4.3000005363878,26,30
03/10/2020,4.56,5.3,3.35,3.35,-1.86,66,4260,50.29%,-0.88025589681035,0.08781530804766,-0.024402697371473,0.008900653380647,-0.0073705593426545,3.0299999999993,27.12,30
03/09/2020,4.5,5.95,2.21,5.21,3.07,870,4818,52.76%,-0.98041189598708,0.019704167608119,-0.0068576159361168,0.0019117034539642,-0.0089073991310434,5.3500001393318,24.69,30
03/06/2020,1.57,2.14,1.57,2.14,0.99,50,4818,111.24%,-0.53951740252375,0.063408242626889,-0.089641458065178,0.022265017769881,-0.0071913035567569,3.2700011442049,28.69,30
03/05/2020,0.97,1.2,0.8,1.15,0.51,164,4636,54.29%,-0.46947194031008,0.11992580694067,-0.044912657502468,0.024235075595141,-0.0063353865949652,1.2850012939578,30.1,30
03/04/2020,0.94,1.08,0.64,0.64,-0.36,173,4477,46.28%,-0.28992492513753,0.11194452148159,-0.033156892384686,0.022573824551229,-0.0042635979663475,0.58500156938625,31.53,30
03/03/2020,0.75,1.21,0.74,1,0.27,109,4375,50.55%,-0.41902168349093,0.11720943719039,-0.038943585648814,0.025696257182818,-0.0064616500768111,1.0850018556416,30.52,30
03/02/2020,1.35,1.35,0.73,0.73,-0.94,161,4336,48.36%,-0.3169811096568,0.10545501415975,-0.033904703929296,0.024825282071494,-0.00527402244134,0.73499999999614,31.42,30
02/28/2020,1.6,2,1.42,1.67,0.62,61,4341,56.61%,-0.42761456404749,0.094592685680528,-0.039364830699709,0.02865166291247,-0.0083178670492226,1.415001702885,30.5,30
02/27/2020,0.84,1.11,0.6,1.05,0.55,362,4249,47.32%,-0.40122783483237,0.10820778850863,-0.03200961636181,0.029100484573718,-0.0080867827005808,1.0950010559088,30.71,30
02/26/2020,0.46,0.53,0.38,0.5,-0.13,524,3840,40.05%,-0.24792936454824,0.098244057561512,-0.022534793822348,0.025385596442241,-0.0053144104497934,0.49999999998254,32,30
02/25/2020,0.26,0.71,0.26,0.63,0.32,194,3736,41.75%,-0.28355059107832,0.099534742674758,-0.024441503899917,0.027537168820145,-0.0063371388397265,0.63500179479236,31.75,30
02/24/2020,0.25,0.32,0.25,0.31,0.2,44,3454,37.78%,-0.15173951031676,0.071752184351847,-0.015620571294284,0.020330886625703,-0.0036240138818686,0.27000131508925,33.09,30
02/21/2020,0.11,0.11,0.11,0.11,0.05,60,3454,35.22%,-0.065121119012417,0.03753493099297,-0.0077678357288634,0.012180028459117,-0.001807684883422,0.10000084862355,34.65,30
02/20/2020,0.06,0.06,0.06,0.06,-0.03,5,3486,35.11%,-0.046675795481149,0.027929614231335,-0.0059503424700468,0.0097059792687012,-0.0013643409747452,0.069999999994938,35.29,30
02/19/2020,0.09,0.09,0.09,0.09,-0.01,1,3489,33.22%,-0.051713605798994,0.031830944134126,-0.0059530295964486,0.010601115975166,-0.0015458948398471,0.075000794143883,34.92,30
02/18/2020,0.1,0.12,0.1,0.1,-0.02,33,3487,32.59%,-0.069879290675497,0.040988538137761,-0.0071799977012689,0.013438790290095,-0.002131395090528,0.10500072503773,34.41,30
02/14/2020,0.1,0.12,0.1,0.12,0.02,13,3511,31.60%,-0.062007614238232,0.035902436403192,-0.006036987128152,0.013148253093806,-0.0021579018979687,0.094999999988387,34.76,30
02/13/2020,0.1,0.1,0.1,0.1,0.01,1,3532,31.91%,-0.048965805523344,0.028651642908475,-0.0050593285892223,0.011235288567412,-0.0017783035492708,0.074999999996826,35.29,30
02/12/2020,0.09,0.09,0.09,0.09,-0.07,9,3573,32.76%,-0.04969635646657,0.027696704432248,-0.0052131781101844,0.011590834140685,-0.0018689800688598,0.080000833103769,35.49,30
02/11/2020,0.16,0.16,0.16,0.16,0,0,3579,32.85%,-0.067535525625191,0.035165274497937,-0.0064835587260352,0.0147434605383,-0.0025813127961207,0.11500121266931,35.01,30
02/10/2020,0.16,0.16,0.16,0.16,-0.06,896,2838,30.65%,-0.087770339059409,0.046394090799724,-0.0071536673131212,0.017828610485229,-0.0033669637957623,0.14499999996484,34.25,30
02/07/2020,0.15,0.22,0.15,0.22,0.08,80,2804,29.32%,-0.11930823137146,0.059498218629606,-0.0081266446790183,0.022701342596988,-0.0048528251884925,0.20500178373115,33.63,30
02/06/2020,0.14,0.14,0.14,0.14,0.02,16,2794,28.99%,-0.083019767878655,0.044699407410724,-0.0062054241475582,0.017997113074444,-0.003516656381017,0.13500143826697,34.33,30
02/05/2020,0.15,0.15,0.1,0.12,-0.1,46,2854,30.25%,-0.06553502337012,0.034649564541569,-0.0054393073450441,0.015506888361389,-0.0029000123739685,0.11000129770129,35.03,30
02/04/2020,0.25,0.25,0.22,0.22,-0.15,68,2665,33.50%,-0.11547304781641,0.048095715319547,-0.0089276474983339,0.023465086157004,-0.00518894294038,0.24000161852105,34.37,30
02/03/2020,0.29,0.37,0.29,0.37,-0.05,6,2670,33.61%,-0.15341428006497,0.058739780897528,-0.010594547323642,0.028289627345822,-0.0069480545074508,0.34000171244188,33.72,30
01/31/2020,0.41,0.44,0.41,0.42,0.1,70,2626,33.51%,-0.18003639125146,0.063908908278582,-0.011264561614265,0.03204943416558,-0.0086406676646343,0.42500162996539,33.39,30
01/30/2020,0.32,0.33,0.32,0.32,0,0,2622,32.21%,-0.17787121493889,0.065423549049994,-0.010629873908941,0.032070730319407,-0.0086759569279013,0.40500200411042,33.33,30
01/29/2020,0.32,0.33,0.32,0.32,-0.06,48,2573,31.41%,-0.15776049239323,0.061014725431466,-0.0095816322223717,0.030227499469116,-0.0078885868363892,0.34500183756703,33.6,30
01/28/2020,0.41,0.41,0.34,0.38,-0.02,21,2572,32.60%,-0.1652997126073,0.059944918327621,-0.010157463388556,0.031500537821369,-0.0084705597325715,0.38499999999289,33.64,30
01/27/2020,0.46,0.46,0.4,0.4,0.12,69,2521,32.13%,-0.17867815764668,0.063730812300117,-0.010369714793999,0.033189018261048,-0.0092781051706801,0.42000217818202,33.41,30
01/24/2020,0.24,0.28,0.23,0.28,0.1,44,2513,31.33%,-0.12820101045722,0.049681597102209,-0.0080798449389116,0.028111709518859,-0.0071857626470679,0.28500176384156,34.31,30
01/23/2020,0.24,0.28,0.24,0.24,0.06,38,2465,30.67%,-0.099614570432476,0.041338303085873,-0.0066456366932235,0.024089038355298,-0.0057539652550684,0.21000148959635,34.88,30
01/22/2020,0.18,0.18,0.18,0.18,-0.05,1,2466,29.88%,-0.095040436562591,0.040595144984556,-0.0062137137251605,0.023496167937712,-0.0055820825583391,0.1950016470832,34.91,30
01/21/2020,0.23,0.23,0.23,0.23,0,0,2456,30.57%,-0.09814569546148,0.040191743958448,-0.0064656260444359,0.024318700313922,-0.0058904926792457,0.21000139223796,34.99,30
01/17/2020,0.23,0.23,0.23,0.23,0,0,2456,30.17%,-0.079764005381756,0.033186464213846,-0.0053778695692662,0.021909949112963,-0.0051946504485189,0.17000130472925,35.6,30
01/16/2020,0.23,0.23,0.23,0.23,0,0,2435,30.41%,-0.084519354820503,0.034170263263429,-0.0056116609143406,0.023033896569828,-0.0055928359186851,0.1850020058224,35.55,30
01/15/2020,0.23,0.23,0.23,0.23,-0.04,10,2424,30.29%,-0.10002323367312,0.039001255606808,-0.0062234556812595,0.025995801970193,-0.0066617266798224,0.22499999999856,35.15,30
01/14/2020,0.27,0.27,0.27,0.27,0,0,2429,30.62%,-0.10380445813066,0.039336268132258,-0.0064145052122963,0.026910528091198,-0.0070316686130278,0.23999999999727,35.15,30
01/13/2020,0.27,0.27,0.27,0.27,-0.03,2,2429,30.44%,-0.11111192707032,0.041435944185035,-0.0066217750696057,0.02833580294534,-0.0076117444250581,0.26000225550712,34.98,30
01/10/2020,0.3,0.3,0.3,0.3,0.04,33,2399,29.78%,-0.12580319946591,0.045663368053307,-0.0068742660010842,0.031315550216163,-0.0089352274932079,0.30000291795057,34.65,30
01/09/2020,0.28,0.28,0.26,0.26,-0.06,35,2378,29.58%,-0.10732118147462,0.0402881591827,-0.0061217261196501,0.028530330402695,-0.0078096655248381,0.25000190880296,35.08,30
01/08/2020,0.31,0.33,0.31,0.32,0.01,114,2317,29.97%,-0.13024928368728,0.045833666526741,-0.0069927000543413,0.032532218502861,-0.0095338631474669,0.32000218023268,34.65,30
01/07/2020,0.3,0.31,0.3,0.31,0.12,6,2312,31.09%,-0.11768009292156,0.040289767124508,-0.006787419593902,0.030955112748636,-0.0088729149073783,0.30000293381463,35.15,30
01/06/2020,0.2,0.2,0.19,0.19,0,0,2312,30.98%,-0.092862737962137,0.033186906131105,-0.0057544381604644,0.026776075740815,-0.0072138879449738,0.23000170292001,35.84,30
01/03/2020,0.2,0.2,0.19,0.19,0.01,2,2313,30.80%,-0.080746044274967,0.029084764227995,-0.0051177074694186,0.024934682188816,-0.0066087004131194,0.19999999995466,36.32,30
01/02/2020,0.18,0.18,0.18,0.18,-0.03,100,2313,30.93%,-0.056037180124852,0.021090085046133,-0.0039501505712834,0.019482258960179,-0.0047647762363289,0.13500173667869,37.38,30
12/31/2019,0.21,0.21,0.21,0.21,0,0,2313,30.88%,-0.077051555043981,0.027258449743388,-0.0048975397941332,0.024718613775905,-0.006608408196882,0.19499999997358,36.6,30
12/30/2019,0.21,0.21,0.21,0.21,0.01,1,2314,30.19%,-0.078465173203194,0.02821568729512,-0.0048062466907767,0.025106891166112,-0.00677797309522,0.19500159307776,36.44,30
12/27/2019,0.2,0.2,0.2,0.2,0,0,2314,29.82%,-0.076174564719207,0.027338868069241,-0.0045703677406726,0.025080095697864,-0.0068464439451611,0.19000147887977,36.56,30
12/26/2019,0.2,0.2,0.2,0.2,0,0,2355,29.40%,-0.076866872994024,0.027812733129861,-0.0045016590902741,0.025346749710839,-0.0069725728801817,0.19000198936557,36.48,30
12/24/2019,0.2,0.2,0.2,0.2,0,1,2355,29.73%,-0.078454110801322,0.027535811753119,-0.0045850586005032,0.026114152798706,-0.0073171819143218,0.20000146021581,36.58,30
12/23/2019,0.18,0.2,0.18,0.2,0.02,3,2347,29.74%,-0.074424579711796,0.026157236805269,-0.0044005128143687,0.025362986845278,-0.0070558909924108,0.18999999996784,36.77,30
12/20/2019,0.18,0.18,0.18,0.18,-0.01,15,2349,29.58%,-0.064698135983133,0.022915177515425,-0.0039110111185812,0.023458604470361,-0.0064198795196942,0.16500162958712,37.25,30
12/19/2019,0.19,0.19,0.19,0.19,0,0,2348,30.27%,-0.069452848537673,0.02352352791605,-0.0042050437557263,0.024921697838437,-0.0069890075863962,0.18500023882587,37.26,30
12/18/2019,0.19,0.19,0.19,0.19,-0.07,3,2345,30.24%,-0.069101923359125,0.023297571456171,-0.0041683868555002,0.024992348408983,-0.007040467393466,0.1850020084603,37.31,30
12/17/2019,0.26,0.26,0.26,0.26,-0.09,100,2059,29.82%,-0.094596663032924,0.030588301402788,-0.005062772742656,0.030980122203327,-0.0095153860894636,0.25999999998859,36.31,30
12/16/2019,0.36,0.36,0.35,0.35,0,0,2059,29.36%,-0.098919823958217,0.032109392321703,-0.0051007657327147,0.032003490830338,-0.0099997108779875,0.26999999996822,36.11,30
12/13/2019,0.36,0.36,0.35,0.35,0,3,2060,29.46%,-0.11872467775196,0.036381205303304,-0.0056861737319718,0.036580487375858,-0.012276945943579,0.34000189720894,35.65,30
12/12/2019,0.35,0.35,0.35,0.35,-0.09,7,2065,30.89%,-0.11362098605859,0.033049552280573,-0.0058079506878132,0.036090074200949,-0.01206096290166,0.34500167551783,36.1,30
12/11/2019,0.44,0.44,0.44,0.44,0,30,2060,30.57%,-0.14421030383757,0.04015211940167,-0.006611624864819,0.041762437628136,-0.015156091046023,0.4500027756118,35.24,30
12/10/2019,0.43,0.44,0.43,0.44,0.03,21,2066,30.77%,-0.15199489033575,0.041256059187555,-0.0068403082162273,0.043307384300381,-0.016108927650672,0.48500315653834,35.11,30
