Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
01/17/2020,1.44,1.51,1.3,1.51,-0.01,25,3313,34.17%,-0.98476484275134,0.060375662793832,-0.013862846104153,0.00070652647128518,-0.00098449165026867,1.4050000494332,35.6,37
01/16/2020,1.81,1.81,1.5,1.52,-0.33,49,3323,46.43%,-0.94885697419806,0.12131746713875,-0.04687914034518,0.0019513986414381,-0.00096443467692284,1.4700000183061,35.55,37
01/15/2020,1.85,1.85,1.85,1.85,0.06,1,3395,28.15%,-0.99277376648429,0.026716622129804,-0.0052375981268726,0.000509882890852,-0.0020137531556253,1.8550000307035,35.15,37
01/14/2020,1.86,1.91,1.79,1.79,-0.29,151,3392,15.54%,-0.99958852226818,0.0010611282300838,-0.0017041504403921,1.6798369090726E-5,-0.0030403185044816,1.8550000009213,35.15,37
01/13/2020,2.39,2.46,2.08,2.08,-0.13,17,3482,28.93%,-0.96712148795291,0.068596394923618,-0.011233861763049,0.0026629962342097,-0.0039309504841176,2.0400001171347,34.98,37
01/10/2020,2.07,2.42,2.07,2.21,0,0,3486,20.43%,-0.98911822766524,0.027705654336268,-0.003544719612122,0.0013046765757457,-0.0070264559203262,2.3650000181746,34.65,37
01/09/2020,2.07,2.42,2.07,2.21,0.04,23,3485,14.67%,-0.99232566821252,0.025345743103439,-0.0025683215623684,0.0010042771083787,-0.0080538722071405,1.9350000513202,35.08,37
01/08/2020,2.17,2.17,2.17,2.17,0.17,3,3482,12.40%,-0.99880180792542,0.0019338197994869,-0.0017070647394411,7.1167349798976E-5,-0.0091167488125074,2.3650000040861,34.65,37
01/07/2020,1.31,2.22,1.31,2,0.7,47,3540,21.72%,-0.92177188102757,0.11460722242833,-0.010672474305862,0.0084268362147514,-0.0094000792970294,1.9100000461224,35.15,37
01/06/2020,1.26,1.3,1.21,1.3,0.28,54,3576,21.91%,-0.79660189779418,0.20678830836873,-0.018762986569695,0.017536952293719,-0.0090049985602151,1.3300014236043,35.84,37
01/03/2020,0.81,1.1,0.81,1.02,0.48,522,4423,21.12%,-0.67047715592148,0.24037185678044,-0.020468757741373,0.02568595203538,-0.0097316250463071,1.0200021363692,36.32,37
01/02/2020,0.87,0.87,0.54,0.54,-0.36,782,3728,21.37%,-0.40371611223292,0.23895905503108,-0.021523532791575,0.02931612046937,-0.0063990029859664,0.48000236640868,37.38,37
12/31/2019,0.85,0.9,0.85,0.9,-0.06,21,3713,20.30%,-0.59583257299419,0.24110303250939,-0.019245939118114,0.030533300594441,-0.010566770256601,0.88000231606272,36.6,37
12/30/2019,0.95,1.01,0.88,0.96,-0.08,115,3712,19.78%,-0.63364057119121,0.23459049468891,-0.017709183988598,0.030376552601461,-0.011870072000106,0.98000262056802,36.44,37
12/27/2019,0.95,0.97,0.88,0.97,-0.07,100,3708,19.69%,-0.59762767025037,0.22356008425205,-0.016823979177783,0.033843179449084,-0.013120266177989,0.95500178458416,36.56,37
12/26/2019,1.02,1.04,1.02,1.04,0.1,11,3718,19.55%,-0.61364196204012,0.21800197966148,-0.016157391686912,0.034170662565765,-0.014104509484633,1.0150027388986,36.48,37
12/24/2019,0.96,0.96,0.92,0.94,0.05,63,3718,19.36%,-0.58859580941493,0.21367575870272,-0.015612262014228,0.036388682700682,-0.014801647928562,0.98000358441289,36.58,37
12/23/2019,0.65,0.9,0.65,0.89,0.2,485,3634,19.16%,-0.54730361578287,0.21436910940745,-0.015440140872336,0.038021026723251,-0.014386546507513,0.88000262510153,36.77,37
12/20/2019,0.7,0.71,0.59,0.69,-0.06,598,3320,19.49%,-0.44763567042073,0.1963564143686,-0.01487409861197,0.040717773387105,-0.013328328258018,0.70000244390563,37.25,37
12/19/2019,0.8,0.97,0.73,0.75,-0.03,339,3314,20.08%,-0.44743256191666,0.18716103215212,-0.015056369355822,0.041443819363341,-0.013829693761148,0.73500328533041,37.26,37
12/18/2019,1.18,1.18,0.73,0.78,-0.43,358,3284,21.21%,-0.44083375840827,0.17358968139025,-0.015573353700689,0.042108786617078,-0.01415548738767,0.77500336058492,37.31,37
12/17/2019,1.27,1.32,1.2,1.21,-0.14,121,3279,18.70%,-0.6330644966773,0.18950461729907,-0.012976998207233,0.039669930000016,-0.02055900999656,1.2200022550611,36.31,37
12/16/2019,1.33,1.35,1.33,1.35,-0.29,36,3241,18.23%,-0.67232332156573,0.18429444967606,-0.012013734937838,0.038406259070582,-0.022463647603767,1.3449999999963,36.11,37
12/13/2019,1.5,1.64,1.5,1.64,0.14,30,3217,18.62%,-0.7382041573026,0.15711130328299,-0.010682373155221,0.035654637509185,-0.026884779354007,1.7200027402854,35.65,37
12/12/2019,1.54,1.63,1.5,1.5,-0.7,134,3351,20.31%,-0.64611802583859,0.16064343298452,-0.012852839432969,0.041934158499525,-0.024470002975772,1.4850015247723,36.1,37
12/11/2019,2.12,2.2,1.97,2.2,0,0,3351,18.93%,-0.78811186974271,0.13496181740837,-0.0095130219115327,0.032154597593173,-0.030246808969435,2.0650029077961,35.24,37
12/10/2019,2.12,2.2,1.97,2.2,0.28,37,3367,18.66%,-0.80574212703176,0.12853297046017,-0.0088833208769074,0.030776076822349,-0.031711375837513,2.1700015579225,35.11,37
12/09/2019,1.9,1.97,1.9,1.92,-0.08,94,3970,18.49%,-0.76836059721426,0.14114045846394,-0.009525914439308,0.034897017911781,-0.031140810218367,1.9600028084957,35.38,37
12/06/2019,2,2,2,2,0,0,3960,19.28%,-0.72778949585326,0.14155192556462,-0.010302625300081,0.039666380948606,-0.031949507611177,1.9000023618422,35.54,37
12/05/2019,2,2,2,2,0,0,3960,19.64%,-0.75245809712099,0.13141930196448,-0.0098986489329298,0.037913415710285,-0.033768901794734,2.0950022535673,35.31,37
12/04/2019,2,2,2,2,-0.36,1,3325,25.91%,-0.63223334502559,0.11629346598476,-0.014673747447882,0.046543859709533,-0.029737921894371,2.0350037566838,35.8,37
