Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/28/2020,12.4,12.4,3,3,-4.1,1468,5600,48.52%,-0.76173547778504,0.075856315688181,-0.637584179094,0.0260652601541,-0.0028618399111019,3.5500017050876,162.01,165
02/27/2020,3.2,7.1,1.51,7.1,6.19,9782,5920,112.06%,-0.7548989228982,0.033899231719058,-1.4545645500696,0.026032682625333,-0.0029399159506276,8.1250012734935,158.18,165
02/26/2020,1.5,1.55,0.49,0.91,-1.37,3355,3829,55.40%,-0.21929556883297,0.042355850928833,-0.51429978505241,0.037228284399611,-0.0019131212058289,0.8950020370907,170.17,165
02/25/2020,0.99,2.52,0.64,2.28,0.68,4423,3471,57.40%,-0.35112963961505,0.042413812632794,-0.53839340243537,0.056501504709482,-0.0045226392408892,2.1299999999991,168.07,165
02/24/2020,2.14,6.05,0.95,1.6,1,3560,1636,54.84%,-0.26037209593162,0.033098801342461,-0.39639647990808,0.058068355045489,-0.0045893994278512,1.5899999999775,170.89,165
02/21/2020,0.27,0.74,0.27,0.6,0.45,1817,1636,46.63%,-0.10349960605503,0.015603578988039,-0.14755558301827,0.044506736870322,-0.0033852785814165,0.58500226432638,178.59,165
02/20/2020,0.07,0.29,0.07,0.15,0.07,49,1640,39.16%,-0.0254011865647,0.0055373712685354,-0.039411745973916,0.01617436377503,-0.0009856748384076,0.10499999999769,184.42,165
02/19/2020,0.09,0.1,0.07,0.08,-0.03,74,1681,38.61%,-0.016799265394833,0.0036738739767162,-0.026210518925733,0.012275817475505,-0.00074663641770958,0.070000614339851,187.28,165
02/18/2020,0.15,0.15,0.11,0.11,-0.1,71,1634,38.63%,-0.021980111325674,0.0043792406750831,-0.031239910624668,0.016256287573659,-0.0010853891384268,0.10000107274827,187.23,165
02/14/2020,0.27,0.27,0.2,0.21,-0.11,69,1580,34.46%,-0.038803642586435,0.0067203505066337,-0.037287905653161,0.03052206186967,-0.0026531251978365,0.20000163689294,185.35,165
02/13/2020,0.35,0.38,0.2,0.32,0.05,94,1426,34.32%,-0.056304656692288,0.0088662872061115,-0.047892920046514,0.042206190973593,-0.0040841124521429,0.31500354845148,183.71,165
02/12/2020,0.42,0.42,0.27,0.27,-0.08,30,1383,33.03%,-0.046993871976946,0.0076831433548384,-0.038855147496478,0.037960056177944,-0.0036584608710751,0.25500215404196,184.71,165
02/11/2020,0.15,0.41,0.15,0.35,0.19,31,1355,34.56%,-0.061943734290756,0.0088768957666908,-0.048995664116767,0.048617028002496,-0.0051207904248189,0.38000276785744,184.44,165
02/10/2020,0.31,0.31,0.16,0.16,-0.18,240,1223,33.12%,-0.030699880533429,0.0049965382072782,-0.026520646363776,0.029067318747542,-0.0027564942474805,0.17000219555761,188.7,165
02/07/2020,0.3,0.34,0.2,0.34,0.02,23,1228,29.55%,-0.057587269233277,0.0088496166767405,-0.035402367344511,0.050882024025971,-0.0058552256102656,0.33000278205682,183.89,165
02/06/2020,0.48,0.48,0.32,0.32,-0.27,31,1236,28.40%,-0.056981598166115,0.008935134642851,-0.032894921309506,0.051574878927337,-0.0060584048642426,0.32000403851554,183.63,165
02/05/2020,0.4,0.74,0.4,0.59,0.14,74,1128,26.93%,-0.092606628185846,0.013642873903199,-0.043234057066801,0.074905726284875,-0.010038984102432,0.53999999999078,179.9,165
