S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
31-Aug-2021,"4,522.68",-6.11,-0.13%,"4,529.75","4,515.80","4,531.39",
30-Aug-2021,"4,528.79",+19.42,+0.43%,"4,513.76","4,513.76","4,537.36",
27-Aug-2021,"4,509.37",+39.37,+0.88%,"4,474.10","4,474.10","4,513.33",
26-Aug-2021,"4,470.00",-26.19,-0.58%,"4,493.75","4,468.99","4,495.90",
25-Aug-2021,"4,496.19",+9.96,+0.22%,"4,490.45","4,485.66","4,501.71",
24-Aug-2021,"4,486.23",+6.70,+0.15%,"4,484.40","4,482.28","4,492.81",
23-Aug-2021,"4,479.53",+37.86,+0.85%,"4,450.29","4,450.29","4,489.88",
20-Aug-2021,"4,441.67",+35.87,+0.81%,"4,410.56","4,406.80","4,444.35",
19-Aug-2021,"4,405.80",+5.53,+0.13%,"4,382.44","4,367.73","4,418.61",
18-Aug-2021,"4,400.27",-47.81,-1.07%,"4,440.94","4,397.59","4,454.32",
17-Aug-2021,"4,448.08",-31.63,-0.71%,"4,462.12","4,417.83","4,462.12",
16-Aug-2021,"4,479.71",+11.71,+0.26%,"4,461.65","4,437.66","4,480.26",
13-Aug-2021,"4,468.00",+7.17,+0.16%,"4,464.84","4,460.82","4,468.37",
12-Aug-2021,"4,460.83",+13.13,+0.30%,"4,446.08","4,435.96","4,461.77",
11-Aug-2021,"4,447.70",+10.95,+0.25%,"4,442.18","4,436.42","4,449.44",
10-Aug-2021,"4,436.75",+4.40,+0.10%,"4,435.79","4,430.03","4,445.21",
09-Aug-2021,"4,432.35",-4.17,-0.09%,"4,437.77","4,424.74","4,439.39",
06-Aug-2021,"4,436.52",+7.42,+0.17%,"4,429.07","4,429.07","4,440.82",
05-Aug-2021,"4,429.10",+26.44,+0.60%,"4,408.86","4,408.86","4,429.76",
04-Aug-2021,"4,402.66",-20.49,-0.46%,"4,415.95","4,400.23","4,416.17",
03-Aug-2021,"4,423.15",+35.99,+0.82%,"4,392.74","4,373.00","4,423.79",
02-Aug-2021,"4,387.16",-8.10,-0.18%,"4,406.86","4,384.81","4,422.18",
30-Jul-2021,"4,395.26",-23.89,-0.54%,"4,395.12","4,389.65","4,412.25",
29-Jul-2021,"4,419.15",+18.51,+0.42%,"4,403.59","4,403.59","4,429.97",
28-Jul-2021,"4,400.64",-0.82,-0.02%,"4,402.95","4,387.01","4,415.47",
