Qualcomm Inc | Price History                                          17-Nov-2021 01:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QCOM.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QCOM.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,183.73,16-Nov-2021,Max,"156,019,346",17-Apr-2019,Advancing,"7,486,341,885",Up,659,Up,+23.21%,16-Apr-2019,Max,"12,334,264,915.94",17-Apr-2019
Low,48.56,26-Apr-2018,Min,"2,120,165",24-Dec-2020,Declining,"6,654,294,122",Down,597,Down,-14.95%,16-Mar-2020,Min,"157,997,618.87",28-Dec-2017
Avg,84.80,,Avg,"11,255,703",,Total,"14,170,929,990",Unch,2,Period,+174.22%,16-Nov-2016 - 16-Nov-2021,Avg,"910,971,050.11",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QCOM.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
31-Jul-2017,53.19,+0.31,+0.59%,53.10,52.75,53.30,"11,302,681","600,803,859.75","-1,240,861,983.09",,,,,,
28-Jul-2017,52.88,+0.39,+0.74%,52.27,52.27,52.99,"6,644,302","350,855,783.53","-1,841,665,842.84",,,,,,
27-Jul-2017,52.49,-0.65,-1.22%,53.08,52.23,53.37,"14,069,183","740,981,418.96","-2,192,521,626.37",,,,,,
26-Jul-2017,53.14,-0.13,-0.24%,53.29,52.74,53.35,"7,581,480","402,071,868.80","-1,451,540,207.41",,,,,,
25-Jul-2017,53.27,+0.05,+0.09%,53.20,53.07,53.65,"7,112,089","379,254,827.12","-1,049,468,338.61",,,,,,
24-Jul-2017,53.22,-0.62,-1.15%,53.75,53.09,53.88,"8,832,174","470,671,594.52","-1,428,723,165.72",,,,,,
21-Jul-2017,53.84,-0.13,-0.24%,53.66,53.37,54.00,"12,113,142","650,723,375.21","-958,051,571.21",,,,,,
20-Jul-2017,53.97,-2.81,-4.95%,55.11,53.46,55.43,"35,943,882","1,943,597,588.80","-307,328,196.00",,,,,,
19-Jul-2017,56.78,+0.49,+0.87%,56.46,56.01,56.94,"8,783,691","495,878,074.54","1,636,269,392.80",,,,,,
18-Jul-2017,56.29,-0.17,-0.30%,56.34,56.00,56.38,"7,441,014","418,050,389.89","1,140,391,318.26",,,,,,
17-Jul-2017,56.46,-0.35,-0.62%,56.73,56.39,56.92,"5,123,598","289,793,709.93","1,558,441,708.15",,,,,,
14-Jul-2017,56.81,+0.58,+1.03%,56.50,56.15,56.93,"4,440,059","251,609,056.91","1,848,235,418.08",,,,,,
13-Jul-2017,56.23,+0.03,+0.05%,56.38,56.17,56.52,"6,219,216","350,329,661.87","1,596,626,361.17",,,,,,
12-Jul-2017,56.20,+0.87,+1.57%,55.79,55.72,56.31,"6,126,846","343,786,094.29","1,246,296,699.31",,,,,,
11-Jul-2017,55.33,-0.31,-0.56%,55.63,55.02,55.63,"6,124,863","338,583,532.47","902,510,605.01",,,,,,
10-Jul-2017,55.64,+0.29,+0.52%,55.37,55.19,55.89,"5,098,110","283,603,511.15","1,241,094,137.48",,,,,,
07-Jul-2017,55.35,+0.56,+1.02%,55.04,54.87,55.73,"5,355,977","296,367,375.16","957,490,626.33",,,,,,
06-Jul-2017,54.79,-0.66,-1.19%,55.02,54.74,55.23,"5,663,022","311,006,452.26","661,123,251.17",,,,,,
05-Jul-2017,55.45,+0.50,+0.91%,55.01,54.78,55.56,"6,823,806","377,106,934.75","972,129,703.43",,,,,,
03-Jul-2017,54.95,-0.27,-0.49%,55.53,54.92,56.02,"4,379,566","241,916,337.22","595,022,768.68",,,,,,
30-Jun-2017,55.22,+0.14,+0.25%,55.60,55.03,55.63,"8,781,900","485,642,348.51","836,939,105.90",,,,,,
29-Jun-2017,55.08,-1.08,-1.92%,55.93,54.55,55.93,"8,456,872","465,723,320.78","351,296,757.39",,,,,,
28-Jun-2017,56.16,+0.73,+1.32%,55.40,55.18,56.32,"7,542,428","421,804,113.05","817,020,078.18",,,,,,
27-Jun-2017,55.43,-1.13,-2.00%,56.29,55.41,56.33,"6,814,393","380,533,699.53","395,215,965.12",,,,,,
26-Jun-2017,56.56,-0.35,-0.62%,57.09,56.21,57.69,"7,339,073","416,317,821.42","775,749,664.66",,,,,,
23-Jun-2017,56.91,+0.44,+0.78%,56.64,56.57,57.44,"11,847,870","675,416,278.31","1,192,067,486.07",,,,,,
22-Jun-2017,56.47,+0.14,+0.25%,56.24,56.06,56.75,"5,560,135","313,871,648.44","516,651,207.77",,,,,,
21-Jun-2017,56.33,-0.46,-0.81%,56.79,56.12,56.84,"8,324,937","469,126,486.39","202,779,559.33",,,,,,
20-Jun-2017,56.79,-0.82,-1.42%,57.46,56.51,57.61,"8,181,643","465,003,882.69","671,906,045.72",,,,,,
19-Jun-2017,57.61,+0.79,+1.39%,56.96,56.91,57.66,"7,166,237","411,883,682.19","1,136,909,928.41",,,,,,
16-Jun-2017,56.82,-0.11,-0.19%,56.98,56.35,57.01,"14,555,633","826,529,412.72","725,026,246.22",,,,,,
15-Jun-2017,56.93,-0.08,-0.14%,56.42,56.40,57.17,"5,416,623","308,023,611.81","1,551,555,658.94",,,,,,
14-Jun-2017,57.01,-0.53,-0.92%,57.70,56.67,57.97,"6,740,008","385,342,679.08","1,859,579,270.74",,,,,,
13-Jun-2017,57.54,+0.05,+0.09%,57.95,57.50,58.07,"7,111,499","410,393,655.29","2,244,921,949.82",,,,,,
12-Jun-2017,57.49,+0.44,+0.77%,56.52,56.48,57.68,"9,985,065","572,337,183.83","1,834,528,294.53",,,,,,
09-Jun-2017,57.05,-1.07,-1.84%,58.37,56.74,58.49,"13,624,828","782,585,965.45","1,262,191,110.70",,,,,,
08-Jun-2017,58.12,+0.59,+1.03%,57.77,57.61,58.15,"10,322,232","597,981,918.98","2,044,777,076.15",,,,,,
07-Jun-2017,57.53,-0.67,-1.15%,58.30,57.13,58.49,"10,126,509","583,736,835.13","1,446,795,157.17",,,,,,
06-Jun-2017,58.20,-0.66,-1.12%,58.60,58.18,58.91,"7,871,534","460,331,079.96","2,030,531,992.30",,,,,,
05-Jun-2017,58.86,+0.28,+0.48%,58.50,58.48,59.05,"7,960,848","468,402,369.70","2,490,863,072.26",,,,,,
02-Jun-2017,58.58,-0.04,-0.07%,58.89,58.35,58.96,"9,538,011","558,845,952.73","2,022,460,702.56",,,,,,
01-Jun-2017,58.62,+1.35,+2.36%,57.45,57.35,58.65,"11,560,120","672,720,259.13","2,581,306,655.29",,,,,,
31-May-2017,57.27,-0.07,-0.12%,57.26,57.00,57.73,"14,082,627","806,755,460.26","1,908,586,396.16",,,,,,
30-May-2017,57.34,-0.18,-0.31%,57.28,57.17,57.74,"11,553,716","663,521,039.85","2,715,341,856.42",,,,,,
26-May-2017,57.52,-0.93,-1.59%,57.66,57.37,57.98,"8,261,886","476,356,956.45","3,378,862,896.27",,,,,,
25-May-2017,58.45,-0.19,-0.32%,58.65,58.26,58.95,"9,556,506","559,384,165.47","3,855,219,852.72",,,,,,
24-May-2017,58.64,-0.58,-0.98%,59.28,58.57,59.62,"8,625,623","507,481,378.07","4,414,604,018.19",,,,,,
23-May-2017,59.22,-0.06,-0.10%,59.38,59.13,59.89,"14,223,368","845,941,763.30","4,922,085,396.26",,,,,,
22-May-2017,59.28,+1.61,+2.79%,58.39,58.38,59.54,"20,771,548","1,227,700,428.34","5,768,027,159.56",,,,,,
19-May-2017,57.67,+1.55,+2.76%,56.49,56.20,57.79,"16,643,755","954,431,638.96","4,540,326,731.22",,,,,,
18-May-2017,56.12,+0.76,+1.37%,55.58,55.02,56.31,"13,125,299","732,925,468.39","3,585,895,092.26",,,,,,
17-May-2017,55.36,-0.59,-1.05%,55.64,55.30,56.08,"14,811,304","824,011,713.60","2,852,969,623.87",,,,,,
16-May-2017,55.95,+0.55,+0.99%,55.39,55.10,55.98,"9,599,290","533,540,712.05","3,676,981,337.46",,,,,,
15-May-2017,55.40,+0.08,+0.14%,55.08,55.08,55.49,"10,686,064","590,798,954.15","3,143,440,625.41",,,,,,
12-May-2017,55.32,+0.64,+1.17%,54.50,54.40,55.35,"9,107,629","500,604,240.77","2,552,641,671.26",,,,,,
11-May-2017,54.68,-0.65,-1.17%,55.25,54.41,55.30,"13,514,708","738,669,602.83","2,052,037,430.49",,,,,,
10-May-2017,55.33,+0.18,+0.33%,55.22,54.86,55.43,"8,517,699","470,628,832.65","2,790,707,033.32",,,,,,
09-May-2017,55.15,+0.53,+0.97%,54.69,54.63,55.19,"8,332,919","458,374,936.55","2,320,078,200.67",,,,,,
08-May-2017,54.62,-0.31,-0.56%,54.99,54.56,55.00,"7,033,362","384,892,146.36","1,861,703,264.12",,,,,,
05-May-2017,54.93,+0.02,+0.04%,54.93,54.70,55.00,"9,108,818","499,761,103.78","2,246,595,410.48",,,,,,
04-May-2017,54.91,+0.42,+0.77%,54.73,54.50,55.00,"11,993,428","657,230,876.76","1,746,834,306.70",,,,,,
03-May-2017,54.49,+1.20,+2.25%,53.41,53.25,54.77,"18,428,284","999,523,996.77","1,089,603,429.94",,,,,,
02-May-2017,53.29,-0.31,-0.58%,53.65,52.90,53.73,"10,445,444","556,682,536.36","90,079,433.17",,,,,,
01-May-2017,53.60,-0.14,-0.26%,53.65,53.10,53.70,"12,987,659","693,388,148.40","646,761,969.53",,,,,,
28-Apr-2017,53.74,+0.53,+1.00%,51.80,51.05,53.95,"34,374,139","1,802,246,222.08","1,340,150,117.93",,,,,,
27-Apr-2017,53.21,+0.17,+0.32%,53.24,52.91,53.34,"6,956,210","369,640,083.48","-462,096,104.15",,,,,,
26-Apr-2017,53.04,+0.04,+0.08%,53.20,52.91,53.30,"7,373,776","391,644,942.35","-831,736,187.63",,,,,,
25-Apr-2017,53.00,+0.19,+0.36%,53.17,52.96,53.49,"11,688,660","620,537,573.76","-1,223,381,129.98",,,,,,
24-Apr-2017,52.81,+0.31,+0.59%,53.01,52.75,53.25,"10,784,366","571,181,433.42","-1,843,918,703.74",,,,,,
21-Apr-2017,52.50,-0.16,-0.30%,52.77,52.21,52.80,"10,951,539","574,483,850.67","-2,415,100,137.16",,,,,,
20-Apr-2017,52.66,+0.05,+0.10%,53.22,51.40,53.40,"24,664,581","1,291,587,854.64","-1,840,616,286.49",,,,,,
19-Apr-2017,52.61,-0.06,-0.11%,53.00,52.30,53.10,"15,441,526","813,024,213.71","-3,132,204,141.13",,,,,,
18-Apr-2017,52.67,-0.22,-0.42%,52.60,52.39,52.98,"11,262,770","594,005,264.58","-2,319,179,927.42",,,,,,
17-Apr-2017,52.89,+0.10,+0.19%,52.99,52.75,53.13,"10,471,714","553,940,208.35","-1,725,174,662.84",,,,,,
13-Apr-2017,52.79,-0.60,-1.12%,53.13,52.78,53.68,"17,014,422","904,291,494.07","-2,279,114,871.18",,,,,,
12-Apr-2017,53.39,-1.96,-3.54%,54.64,53.12,54.65,"24,822,200","1,334,816,880.74","-1,374,823,377.11",,,,,,
11-Apr-2017,55.35,-1.17,-2.07%,56.32,54.72,56.36,"17,301,754","955,298,588.10","-40,006,496.37",,,,,,
